date,compound,volume,BTC,Rf,BTC_volume,BTC_dev,BITSI,BITSI_dev,cRf,predictions
2021-11-08,1403.1001,17335,67566.828125,1.00000438356,41125608330.0,4538.8777901785725,1403.1001,585.5835857142858,1.000004380066482,1694649.301856315
2021-11-09,1243.1381,17090,66971.828125,1.00000383562,42357991721.0,3408.8169642857174,1243.1381,371.7834428571428,1.0000038329449126,11201846.82237849
2021-11-10,1104.6235,17303,64995.23046875,1.00000465753,48730828378.0,1142.9073660714275,1104.6235,175.27857142857135,1.000004653586412,10092034.450585196
2021-11-11,729.6346,12127,64949.9609375,1.00000465753,35880633236.0,597.9620535714275,729.6346,-207.6488571428572,1.000004653586412,3550725.564441164
2021-11-12,682.0863,12446,64155.94140625,1.00000465753,36084893887.0,-628.9525669642826,682.0863,-242.69757142857145,1.000004653586412,1336047.8598292405
2021-11-13,418.8853,9557,64469.52734375,1.00000465753,30474228777.0,-735.6590401785725,418.8853,-480.1138285714287,1.000004653586412,1217981.722474458
2021-11-14,631.4651,10924,65466.83984375,1.00000465753,25122092191.0,-44.03962053571741,631.4651,-256.096757142857,1.000004653586412,1305884.6061539536
2021-11-15,789.4485,11896,63557.87109375,1.00000493151,30558763548.0,-1380.3002232142826,789.4485,-10.448842857142836,1.000004927089095,1054881.493487446
2021-11-16,755.9119,17052,60161.24609375,1.00000465753,46844335592.0,-3803.984933035717,755.9119,25.618299999999977,1.000004653586412,1913568.1116241873
2021-11-17,704.0211,12968,60368.01171875,1.00000493151,39178392930.0,-2936.1880580357174,704.0211,30.956414285714345,1.000004927089095,8441864.970703758
2021-11-18,751.4264,14947,56942.13671875,1.00000493151,41388338699.0,-5218.088169642855,751.4264,75.2485999999999,1.000004927089095,7744055.056632612
2021-11-19,751.2214,13829,58119.578125,1.00000493151,38702407772.0,-3178.3091517857174,751.2214,65.16715714285715,1.000004927089095,15875741.602481103
2021-11-20,610.3269,12370,59697.1953125,1.00000493151,30624264863.0,-918.9302455357174,610.3269,-103.07614285714294,1.000004927089095,10678894.848250318
2021-11-21,627.5026,10745,58730.4765625,1.00000493151,26123447605.0,-923.3113839285724,627.5026,-85.33437142857144,1.000004927089095,3145783.5121947783
2021-11-22,726.8638,13227,56289.2890625,1.00000547945,35036121783.0,-2326.1300223214275,726.8638,22.967499999999973,1.0000054739928292,1540895.3205871168
2021-11-23,632.1638,12276,57569.07421875,1.00000575342,37485803899.0,-676.0345982142826,632.1638,-54.05420000000004,1.0000057474038744,3798407.00992711
2021-11-24,657.1514,11429,56280.42578125,1.00000657534,36635566789.0,-1380.7421875,657.1514,-22.37092857142852,1.0000065674837628,2138390.2935111197
2021-11-25,1014.8808,10892,57274.6796875,1.00000657534,34284016248.0,-433.9944196428551,1014.8808,297.7221285714286,1.0000065674837628,1996716.4135795867
2021-11-26,951.7808,15525,53569.765625,1.00000547945,41810748221.0,-3488.935267857145,951.7808,205.97078571428585,1.0000054739928292,1392746.4516643926
2021-11-27,457.9224,10050,54815.078125,1.00000547945,30560857714.0,-1546.177455357145,457.9224,-266.1155428571429,1.0000054739928292,7010176.727990489
2021-11-28,590.1905,10936,57248.45703125,1.00000547945,28116886357.0,1098.9185267857174,590.1905,-128.51714285714274,1.0000054739928292,4272569.453077554
2021-11-29,877.8606,12521,57806.56640625,1.00000575342,32370840356.0,1440.2739955357174,877.8606,137.58198571428568,1.0000057474038744,1946956.7812659338
2021-11-30,1018.0049,12557,57005.42578125,1.00000657534,36708594618.0,719.6545758928551,1018.0049,222.6061285714286,1.0000065674837628,2143296.031796048
2021-12-01,934.1985,12051,57229.828125,1.00000684932,36858195307.0,808.4280133928551,934.1985,99.22157142857144,1.0000068407959848,1542486.5275221916
2021-12-02,874.2997,11787,56477.81640625,1.00000739726,32379968686.0,170.25390625,874.2997,59.405785714285685,1.0000073873189246,1343937.3636416318
2021-12-03,868.9163,13629,53598.24609375,1.00000712329,39789134215.0,-2713.385044642855,868.9163,65.86017142857145,1.000007114071045,1073204.9054592643
2021-12-04,643.9727,26464,49200.703125,1.00000712329,61385677469.0,-6308.874441964283,643.9727,-185.66204285714275,1.000007114071045,4611257.325228146
2021-12-05,763.8111,11927,49368.84765625,1.00000712329,37198201161.0,-5015.071428571428,763.8111,-90.62658571428574,1.000007114071045,21828289.415581126
2021-12-06,874.7894,14381,50582.625,1.00000767123,37707308001.0,-2769.302455357145,874.7894,20.790457142857235,1.000007660539629,20246920.677673116
2021-12-07,315.8001,10769,50700.0859375,1.00000849315,33676814852.0,-1751.0786830357174,315.8001,-437.88387142857147,1.0000084800487172,9122240.829894288
2021-12-08,284.0687,10102,50504.796875,1.00000794521,28479699446.0,-985.6489955357174,284.0687,-376.73958571428574,1.0000079337431356,3826670.098391265
2021-12-09,235.0868,10852,47672.12109375,1.00000767123,29603577251.0,-2560.3683035714275,235.0868,-334.40535714285704,1.000007660539629,1988355.1307009703
2021-12-10,324.0852,11004,47243.3046875,1.00000739726,30966005122.0,-2081.3359375,324.0852,-167.57394285714292,1.0000073873189246,4383593.510963647
2021-12-11,151.9935,8644,49362.5078125,1.00000739726,25775869261.0,14.752232142855064,151.9935,-269.38289999999995,1.0000073873189246,4258863.672940967
2021-12-12,323.0987,8678,50098.3359375,1.00000739726,21939223599.0,646.3677455357174,323.0987,-35.31878571428575,1.0000073873189246,1714558.2036332309
2021-12-13,424.2487,11876,46737.48046875,1.00000739726,32166727776.0,-2165.181361607145,424.2487,130.19417142857145,1.0000073873189246,1147191.3562360373
2021-12-14,438.4237,11241,46612.6328125,1.00000712329,34638619079.0,-1706.107142857145,438.4237,126.85151428571425,1.000007114071045,3356547.418224961
2021-12-15,364.1324,11934,48896.72265625,1.00000794521,36541828520.0,807.7075892857174,364.1324,41.12254285714289,1.0000079337431356,3232484.8420170285
2021-12-16,278.6742,9749,47665.42578125,1.00000712329,27268150947.0,-422.6328125,278.6742,-50.56242857142854,1.000007114071045,1771464.6115076453
2021-12-17,71.9827,10779,46202.14453125,1.00000739726,32902725329.0,-1737.1768973214275,71.9827,-221.23928571428573,1.0000073873189246,1157352.1935484014
2021-12-18,167.097,8167,46848.77734375,1.00000739726,26098292690.0,-731.4397321428551,167.097,-128.28262857142855,1.0000073873189246,2497409.4144883207
2021-12-19,123.624,8090,46707.015625,1.00000739726,25154053861.0,-388.7271205357174,123.624,-143.25924285714288,1.0000073873189246,1761620.2347015198
2021-12-20,260.3056,10466,46880.27734375,1.00000739726,30961902129.0,-235.8649553571449,260.3056,16.84280000000001,1.0000073873189246,1133236.1212340677
2021-12-21,462.8892,10733,48936.61328125,1.00000794521,27055803928.0,1488.4737723214275,462.8892,215.93132857142857,1.0000079337431356,1015288.8993492741
2021-12-22,522.7669,8884,48628.51171875,1.00000767123,24447979559.0,1218.6880580357174,522.7669,253.1469571428571,1.000007660539629,2021920.8566942913
2021-12-23,302.3313,4865,50784.5390625,1.00000849315,28223878108.0,2929.1277901785725,302.3313,29.33177142857141,1.0000084800487172,2030237.1913935116
2021-12-24,366.7557,9109,50822.1953125,1.00000849315,24367912228.0,2306.7767857142826,366.7557,51.645742857142864,1.0000084800487172,5344381.01619786
2021-12-25,355.1211,6802,50429.859375,1.00000849315,19030650914.0,1402.857700892855,355.1211,13.150557142857169,1.0000084800487172,4972434.102276008
2021-12-26,290.4766,6728,50809.515625,1.00000849315,20964372926.0,1196.4425223214275,290.4766,-75.33002857142856,1.0000084800487172,2792270.2126742136
2021-12-27,415.5088,8093,50640.41796875,1.0000090411,24324345758.0,490.1819196428551,415.5088,27.530285714285696,1.000009026255653,1962319.0800309011
